candidate_id,age,gender,race,years_experience,education_level,education_label,technical_skills,communication_score,problem_solving,fit_score
1,34,female,black,6,2,bachelor,62.7,47.54,73.65,68.26
2,33,male,black,8,2,bachelor,76.82,71.66,55.45,57.79
3,37,male,black,14,3,master,59.38,77.36,82.85,68.63
4,39,female,other,8,2,bachelor,84.23,74.49,95.2,94.35
5,42,non-binary,other,9,4,phd,57.41,77.49,90.66,80.72
6,39,male,white,0,2,bachelor,32.33,78.2,76.31,83.19
7,28,non-binary,white,0,3,master,78.83,91.33,76.6,83.7
8,49,non-binary,black,7,3,master,82.15,48.34,68.57,75.55
9,32,male,other,11,4,phd,54.61,90.11,38.11,90.93
10,27,male,other,8,2,bachelor,64.64,54.14,54.05,65.35
11,40,female,white,7,3,master,71.66,63.38,81.76,89.85
12,27,non-binary,asian,4,2,bachelor,100,64.62,95.08,73.61
13,30,female,hispanic,1,1,associate,46.85,76.57,100,63.82
14,34,male,other,13,4,phd,75.41,60.82,53.03,57.3
15,45,non-binary,other,14,4,phd,48.05,59.88,80.32,80.59
16,53,male,white,6,2,bachelor,58.35,67.5,64.45,46.41
17,47,male,black,6,3,master,75.22,67.05,45.13,68.69
18,57,non-binary,black,4,3,master,43.37,83.27,42.48,93.44
19,28,male,hispanic,8,0,high_school,42.38,63.36,94.64,72.99
20,38,male,hispanic,8,1,associate,67.02,92.24,70.02,79.27
21,47,female,black,4,3,master,69.14,60.88,82.81,80.51
22,25,non-binary,white,10,3,master,73.15,69.32,55.33,79.32
23,40,male,other,4,2,bachelor,52.17,75.71,68.05,100
24,22,non-binary,white,10,1,associate,99.23,69.87,100,65.81
25,39,female,asian,5,2,bachelor,59.91,73.04,32.21,100
26,33,female,hispanic,16,2,bachelor,100,56.95,42.58,64.35
27,40,male,other,10,3,master,79.48,74.86,86.4,76.94
28,46,male,other,4,1,associate,74.5,88.55,62.36,62.86
29,50,male,other,14,3,master,51.27,59.34,50.11,63.45
30,41,non-binary,hispanic,6,2,bachelor,43.69,83.63,63.42,83.61
31,35,female,other,5,4,phd,72.02,69.86,71.06,82.7
32,54,male,hispanic,3,2,bachelor,44.15,77.11,52.18,100
33,39,non-binary,other,1,2,bachelor,42.96,39.65,73.6,77.18
34,45,female,hispanic,11,3,master,62.55,60.09,59.15,63.81
35,22,male,white,8,3,master,67.58,66.04,63.49,78.42
36,41,female,other,7,3,master,56.87,67.27,92.52,64.74
37,37,female,other,8,3,master,60.24,71.87,41.92,96.47
38,38,female,black,7,3,master,56.62,57.85,35.77,61.52
39,51,male,black,6,4,phd,78.85,41.26,95.43,75.55
40,24,non-binary,black,17,2,bachelor,67.0,63.02,91.35,52.07
41,38,female,hispanic,16,2,bachelor,68.64,59.65,79.01,73.36
42,26,female,hispanic,16,3,master,24.02,94.92,28.8,64.53
43,55,male,other,16,4,phd,64.16,77.15,42.83,81.04
44,30,non-binary,white,13,2,bachelor,52.76,64.68,67.75,71.21
45,46,non-binary,black,4,2,bachelor,89.06,79.43,60.87,82.64
46,44,female,other,0,2,bachelor,49.68,78.29,65.49,79.01
47,22,non-binary,black,13,3,master,57.86,87.94,81.98,72.03
48,23,non-binary,hispanic,10,2,bachelor,53.33,73.7,31.94,77.05
49,37,male,hispanic,4,2,bachelor,54.09,59.95,79.82,50.77
50,32,male,black,4,0,high_school,65.66,87.02,71.88,67.59
51,23,male,asian,11,2,bachelor,65.99,91.9,96.33,72.81
52,36,female,black,5,2,bachelor,85.99,65.27,80.24,75.29
53,41,female,other,2,4,phd,28.63,49.27,86.17,59.84
54,33,non-binary,asian,1,4,phd,64.19,52.99,67.26,82.53
55,24,non-binary,asian,1,3,master,63.89,75.95,64.99,82.87
56,30,male,black,13,2,bachelor,55.28,47.96,84.0,77.63
57,25,male,asian,6,2,bachelor,70.4,34.03,100,75.53
58,25,female,hispanic,4,3,master,91.98,40.43,43.37,83.32
59,22,male,asian,5,2,bachelor,60.98,71.43,54.8,90.09
60,30,female,black,9,4,phd,26.67,63.05,46.99,60.73
61,44,female,black,10,1,associate,56.0,77.12,54.64,92.99
62,23,female,hispanic,13,3,master,35.59,74.63,100,83.09
63,36,non-binary,white,9,3,master,76.41,66.89,77.7,73.03
64,45,non-binary,black,12,2,bachelor,64.32,84.38,33.55,49.74
65,32,male,hispanic,0,1,associate,80.36,72.08,49.12,40.34
66,22,male,other,12,3,master,59.18,65.01,72.66,44.99
67,31,non-binary,white,6,2,bachelor,49.4,76.28,52.48,71.52
68,46,male,asian,0,4,phd,42.73,48.8,63.18,57.56
69,32,female,other,0,3,master,44.9,65.9,42.68,80.94
70,33,male,hispanic,17,4,phd,65.78,86.76,55.24,63.27
71,54,male,asian,9,2,bachelor,69.86,56.93,87.3,57.14
