candidate_id,decision,confidence,years_experience,education_level,technical_skills,communication_score,problem_solving,fit_score,protected_age_masked,protected_gender_masked,protected_race_masked,policy_check_result
1,REJECT,0.0,6,2,62.7,47.54,73.65,68.26,[MASKED],[MASKED],[MASKED],ALLOW
2,HIRE,1.0,8,2,76.82,71.66,55.45,57.79,[MASKED],[MASKED],[MASKED],ALLOW
3,HIRE,1.0,14,3,59.38,77.36,82.85,68.63,[MASKED],[MASKED],[MASKED],ALLOW
4,HIRE,1.0,8,2,84.23,74.49,95.2,94.35,[MASKED],[MASKED],[MASKED],ALLOW
5,HIRE,1.0,9,4,57.41,77.49,90.66,80.72,[MASKED],[MASKED],[MASKED],ALLOW
6,REJECT,0.0,0,2,32.33,78.2,76.31,83.19,[MASKED],[MASKED],[MASKED],ALLOW
7,HIRE,1.0,0,3,78.83,91.33,76.6,83.7,[MASKED],[MASKED],[MASKED],ALLOW
8,HIRE,1.0,7,3,82.15,48.34,68.57,75.55,[MASKED],[MASKED],[MASKED],ALLOW
9,HIRE,0.6667,11,4,54.61,90.11,38.11,90.93,[MASKED],[MASKED],[MASKED],ALLOW
10,REJECT,0.0,8,2,64.64,54.14,54.05,65.35,[MASKED],[MASKED],[MASKED],ALLOW
11,HIRE,1.0,7,3,71.66,63.38,81.76,89.85,[MASKED],[MASKED],[MASKED],ALLOW
12,HIRE,1.0,4,2,100,64.62,95.08,73.61,[MASKED],[MASKED],[MASKED],ALLOW
13,REJECT,0.0,1,1,46.85,76.57,100,63.82,[MASKED],[MASKED],[MASKED],ALLOW
14,HIRE,1.0,13,4,75.41,60.82,53.03,57.3,[MASKED],[MASKED],[MASKED],ALLOW
15,HIRE,1.0,14,4,48.05,59.88,80.32,80.59,[MASKED],[MASKED],[MASKED],ALLOW
16,REJECT,0.0,6,2,58.35,67.5,64.45,46.41,[MASKED],[MASKED],[MASKED],ALLOW
17,HIRE,1.0,6,3,75.22,67.05,45.13,68.69,[MASKED],[MASKED],[MASKED],ALLOW
